DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2026-01,1584,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2026-07,2486,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2026-06,3084,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2026-05,1871,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2026-04,1844,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2026-03,1844,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2025-07,1744,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2026-07,2056,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2026-05,2062,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2026-04,2500,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2026-03,2549,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2026-02,2140,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2026-01,1607,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2025-12,1570,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2025-11,1793,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2025-10,2269,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2025-09,1584,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2025-08,1601,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2025-08,2292,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2025-07,1797,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2026-06,1845,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2025-12,2386,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2025-11,1938,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2025-10,2138,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3GBRI,M,2025-09,2446,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,5GPER,M,2026-02,2368,NUM,0,,
