DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ERP_COMP_Q(1.0.0),6,3,Q,2024-Q4,7735,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),6,3,Q,2025-Q1,4301,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),6,3,Q,2025-Q2,4258,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),6,3,Q,2025-Q3,3056,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),6,3,Q,2025-Q4,4913,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),10,3,Q,2024-Q4,5620,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),10,3,Q,2025-Q1,5648.7,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),10,3,Q,2025-Q2,5669.9,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),10,3,Q,2025-Q3,5692.7,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),10,3,Q,2025-Q4,5712.1,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),6,5,Q,2024-Q4,3244,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),6,5,Q,2025-Q1,2980,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),6,5,Q,2025-Q2,2495,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),6,5,Q,2025-Q3,2529,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),6,5,Q,2025-Q4,2415,NUM,0,,
ABS:ERP_COMP_Q(1.0.0),10,5,Q,2024-Q4,3011.1,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),10,5,Q,2025-Q1,3032.7,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),10,5,Q,2025-Q2,3046.2,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),10,5,Q,2025-Q3,3063.8,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),10,5,Q,2025-Q4,3076.5,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,5,Q,2024-Q4,9.1,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,5,Q,2025-Q1,13.9,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,5,Q,2025-Q2,7.1,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,5,Q,2025-Q3,11.6,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,5,Q,2025-Q4,7.8,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,3,Q,2024-Q4,12.2,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,3,Q,2025-Q1,18.6,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,3,Q,2025-Q2,11.3,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,3,Q,2025-Q3,14.6,NUM,3,,
ABS:ERP_COMP_Q(1.0.0),9,3,Q,2025-Q4,10.1,NUM,3,,
