DATAFLOW,MEASURE,INDEX,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,DECIMALS,OBS_COMMENT,BASE_PERIOD
ABS:CPI(2.0.0),3,30014,10,4,M,2026-07,4.1,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,4,M,2026-06,4.1,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,3,M,2026-07,4.6,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,3,M,2026-06,4.6,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,7,M,2026-07,6,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,7,M,2026-06,5.6,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,8,M,2026-07,1.3,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,8,M,2026-06,1.3,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,6,M,2026-07,3,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,6,M,2026-06,2.8,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,1,M,2026-07,3.5,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,1,M,2026-06,3.5,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,2,M,2026-07,2.5,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,2,M,2026-06,2.6,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,5,M,2026-07,5.3,PCT,,,,25
ABS:CPI(2.0.0),3,30014,10,5,M,2026-06,5.3,PCT,,,,25
